BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simulation Run,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/05/2016 14:38:27:510 -0700,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,
-50,50,-50,50,,,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,environment,communication?,population,repetitions,R,loop-num,nectar-influx,hive-collected,energy.bee,imported,exported,timer-post-setup,timer,resources,resources.untouched,resources.found,resources.depleted,max [dist-hive-max] of turtles,foraged.trips,dance-quality,dance-quantity,dance.avg,random-quality,random-quantity,random.avg
66,"""dense""","""0.6""",,FALSE,500,6,0.598330582,1,4.339377507,5205083.32,10410.17,TRUE,FALSE,207.772,2010.613,3125,3026,99,29,344.1078078,2385,0,0,0,601009.14,277,2169.71
67,"""dense""","""0.6""",,FALSE,500,7,0.610731923,1,7.913656424,9492430.88,18984.86,TRUE,FALSE,207.164,2037.826,3229,3131,98,34,274.5984018,2651,0,0,0,766425.81,275,2787.00
68,"""dense""","""0.6""",,FALSE,500,8,0.596366213,1,5.304949012,6363286.34,12726.57,TRUE,FALSE,206.963,2045.176,3194,3089,105,32,367.5525356,2841,0,0,0,895870.78,330,2714.76
69,"""dense""","""0.6""",,FALSE,500,9,0.595405992,1,3.63668732,4362206.44,8724.41,TRUE,FALSE,214.712,2020.983,3305,3202,103,30,248.7356099,2687,0,0,0,438691.59,272,1612.84
70,"""dense""","""0.6""",,FALSE,500,10,0.592323598,1,4.053944569,4862706.51,9725.41,TRUE,FALSE,213.975,2024.577,3211,3120,91,21,347.2984434,2264,0,0,0,550375.42,227,2424.56
71,"""dense""","""0.6""",,FALSE,3000,1,0.610418758,1,3.959620542,2.85E+07,9499.13,TRUE,FALSE,210.85,2075.609,3253,2922,331,148,410.4437287,9553,0,0,0,6191518.69,1889,3277.67
72,"""dense""","""0.6""",,FALSE,3000,2,0.59627053,1,3.383311124,2.43E+07,8116.56,TRUE,FALSE,204.119,2081.936,3143,2809,334,140,479.1179396,9366,0,0,0,4927987.7,1827,2697.31
73,"""dense""","""0.6""",,FALSE,3000,3,0.594478956,1,8.860286151,6.38E+07,21255.83,TRUE,FALSE,216.468,2072.958,3161,2844,317,146,455.9659548,9396,0,0,0,1.33E+07,1833,7239.60
74,"""dense""","""0.6""",,FALSE,3000,4,0.589466781,1,5.810070686,4.18E+07,13938.36,TRUE,FALSE,215.498,2073.425,3237,2913,324,160,494.2546252,10076,0,0,0,9006580.37,2079,4332.17
75,"""dense""","""0.6""",,FALSE,3000,5,0.610120965,1,12.53536084,9.02E+07,30072.33,TRUE,FALSE,218.488,2086.852,3303,2983,320,166,510.6155039,10210,0,0,0,1.74E+07,2076,8385.71
76,"""dense""","""0.6""",,FALSE,3000,6,0.598330582,1,3.208097214,2.31E+07,7696.23,TRUE,FALSE,211.178,2087.436,3125,2812,313,141,448.6301372,9255,0,0,0,4479811.12,1754,2554.05
77,"""dense""","""0.6""",,FALSE,3000,7,0.610731923,1,5.827766908,4.19E+07,13980.81,TRUE,FALSE,223.557,2074.132,3229,2907,322,157,418.4925328,9802,0,0,0,6177336.29,1721,3589.39
78,"""dense""","""0.6""",,FALSE,3000,8,0.596366213,1,3.318613447,2.39E+07,7961.35,TRUE,FALSE,223.41,2080.152,3194,2871,323,150,420.187615,9508,0,0,0,5506027.07,1922,2864.74
79,"""dense""","""0.6""",,FALSE,3000,9,0.595405992,1,4.219199518,3.04E+07,10121.86,TRUE,FALSE,217.739,2027.344,3305,2993,312,151,553.5964234,9584,0,0,0,5393220.36,1793,3007.93
80,"""dense""","""0.6""",,FALSE,3000,10,0.592323598,1,7.405566971,5.33E+07,17765.96,TRUE,FALSE,211.818,2016.113,3211,2876,335,159,426.6666187,10173,0,0,0,8989352.8,2067,4348.99
81,"""dense""","""0.8""",,TRUE,500,1,0.792343109,1,8.813486253,1.06E+07,21143.55,FALSE,TRUE,67.265,1426.95,3170,2961,209,85,396.1899886,6046,1.01E+07,5623,1793.45,1542814.49,802,1923.71
82,"""dense""","""0.8""",,TRUE,500,2,0.802419302,1,11.24086489,1.35E+07,26966.83,FALSE,TRUE,64.145,1420.203,3178,2969,209,85,392.8256611,5894,1.25E+07,5394,2309.55,1811456.65,882,2053.81
83,"""dense""","""0.8""",,TRUE,500,3,0.804575698,1,5.392123677,6467852.35,12935.70,FALSE,TRUE,66.068,1418.699,3207,3005,202,83,311.4344686,5510,6057847.38,5104,1186.88,1009488.67,811,1244.75
84,"""dense""","""0.8""",,TRUE,500,4,0.814894548,1,7.365793347,8835269.12,17670.54,FALSE,TRUE,64.411,1415.837,3227,3030,197,84,376.0993521,6013,8334401.71,5600,1488.29,1333567.53,809,1648.41
85,"""dense""","""0.8""",,TRUE,500,5,0.813256981,1,6.990425777,8385015.72,16770.03,FALSE,TRUE,68.331,1425.5,3206,2993,213,87,389.8266581,6048,7902953.4,5633,1402.97,1534592.14,776,1977.57
86,"""dense""","""0.8""",,TRUE,500,6,0.817657916,1,14.05295462,1.69E+07,33713.04,FALSE,TRUE,67.699,1430.418,3079,2872,207,81,344.3932256,6168,1.53E+07,5661,2709.96,2564365.68,776,3304.59
87,"""dense""","""0.8""",,TRUE,500,7,0.772093618,1,6.58124351,7894201.59,15788.40,FALSE,TRUE,66.908,1419.341,3299,3089,210,90,409.8975482,5936,7371093.18,5494,1341.66,1409999.45,876,1609.59
88,"""dense""","""0.8""",,TRUE,500,8,0.808404835,1,12.00545031,1.44E+07,28801.08,FALSE,TRUE,63.823,1416.101,3207,2989,218,91,353.7513251,5976,1.35E+07,5529,2437.48,2872477.94,945,3039.66
89,"""dense""","""0.8""",,TRUE,500,9,0.798437204,1,6.440155006,7724965.93,15449.93,FALSE,TRUE,67.72,1493.211,3191,2980,211,87,353.1265679,6039,7232410.83,5595,1292.66,1324453.71,916,1445.91
90,"""dense""","""0.8""",,TRUE,500,10,0.797173661,1,6.330683085,7593654.36,15187.31,FALSE,TRUE,67.597,1503.301,3181,2963,218,85,436.3542139,5687,7105176.89,5276,1346.70,1263364.16,835,1513.01
91,"""dense""","""0.8""",,TRUE,3000,1,0.792343109,1,7.432166631,5.35E+07,17829.77,TRUE,FALSE,223.278,2142.926,3170,2516,654,367,498.5831811,21107,4.93E+07,18376,2681.21,2.14E+07,6240,3427.90
92,"""dense""","""0.8""",,TRUE,3000,2,0.802419302,1,5.873704175,4.23E+07,14091.02,TRUE,FALSE,223.006,2134.068,3178,2503,675,368,506.9250438,21180,3.80E+07,18538,2048.63,1.34E+07,6495,2060.47
93,"""dense""","""0.8""",,TRUE,3000,3,0.804575698,1,4.398246624,3.17E+07,10551.39,TRUE,FALSE,209.816,2152.912,3207,2573,634,340,510.764953,20106,2.85E+07,17807,1602.64,9612769.4,5928,1621.59
94,"""dense""","""0.8""",,TRUE,3000,4,0.814894548,1,4.552720571,3.28E+07,10921.98,TRUE,FALSE,209.845,2157.677,3227,2592,635,361,605.9435498,20417,2.95E+07,18022,1638.47,9970698.16,6372,1564.77
95,"""dense""","""0.8""",,TRUE,3000,5,0.813256981,1,6.298249717,4.53E+07,15109.50,TRUE,FALSE,220.329,2138.007,3206,2562,644,373,543.5832974,21353,4.16E+07,18799,2214.06,1.45E+07,6230,2326.97
96,"""dense""","""0.8""",,TRUE,3000,6,0.817657916,1,7.420914794,5.34E+07,17802.77,TRUE,FALSE,217.829,2144.554,3079,2388,691,375,581.1884376,21539,4.91E+07,18783,2613.31,1.82E+07,6487,2804.61
