BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,
Practice-ish Run,,,,,,,,,,,,,,,,,,,,,,,,,
03/23/2016 14:43:38:752 -0700,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,min-pxcor,max-pxcor,min-pycor,max-pycor,[step],population,communication?,R,loop-num,J-per-microL,nectar-influx,hive-collected,imported,exported,timer-post-setup,timer,count patches with [resource?],count patches with [resource? and quantity = 50],count patches with [resource? and quantity = 0],max [dist-hive-max] of turtles
109,"""sparse""","""0.8""",FALSE,500,9,-750,750,-750,750,2400,500,FALSE,0.780599277,12,5.819,0.024993472,29979.67,TRUE,FALSE,183.962,2021.072,92,78,3,856.5067731
110,"""sparse""","""0.8""",FALSE,500,10,-750,750,-750,750,2400,500,FALSE,0.820285833,2,5.819,0.096365627,115590.57,TRUE,FALSE,189.554,2001.904,106,86,6,696.9636716
111,"""sparse""","""0.8""",FALSE,3000,1,-750,750,-750,750,2400,3000,FALSE,0.810980034,3,5.819,0.027708701,199419.52,TRUE,FALSE,214.073,1993.504,108,79,11,868.5258298
112,"""sparse""","""0.8""",FALSE,3000,2,-750,750,-750,750,2400,3000,FALSE,0.819079425,8,5.819,0.019062985,137196.3,TRUE,FALSE,212.188,1943.805,109,72,12,843.475257
113,"""sparse""","""0.8""",FALSE,3000,3,-750,750,-750,750,2400,3000,FALSE,0.820529612,1,5.819,0.068249407,491190.98,TRUE,FALSE,186.891,2023.436,107,70,19,875.5928139
114,"""sparse""","""0.8""",FALSE,3000,4,-750,750,-750,750,2400,3000,FALSE,0.78498256,2,5.819,0.032816824,236182.68,TRUE,FALSE,189.799,2003.275,107,71,12,834.0941687
115,"""sparse""","""0.8""",FALSE,3000,5,-750,750,-750,750,2400,3000,FALSE,0.80727733,1,5.819,0.025218105,181494.7,TRUE,FALSE,213.17,1948.469,109,72,13,807.8648804
116,"""sparse""","""0.8""",FALSE,3000,6,-750,750,-750,750,2400,3000,FALSE,0.777859449,3,5.819,0.062031388,446439.9,TRUE,FALSE,212.108,2002.072,113,77,15,998.6767852
117,"""sparse""","""0.8""",FALSE,3000,7,-750,750,-750,750,2400,3000,FALSE,0.808618682,5,5.819,0.030722972,221113.23,TRUE,FALSE,184.313,2032.04,98,62,11,942.0905338
118,"""sparse""","""0.8""",FALSE,3000,8,-750,750,-750,750,2400,3000,FALSE,0.807688176,3,5.819,0.068313014,491648.76,TRUE,FALSE,189.043,1975.279,97,60,10,1055.144529
