BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,
Practice-ish Run,,,,,,,,,,,,,,,,,,,,,,,,,
03/17/2016 16:41:18:117 -0700,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,min-pxcor,max-pxcor,min-pycor,max-pycor,[step],R,loop-num,J-per-microL,nectar-influx,hive-collected,collected nectar (mL),,imported,exported,timer-post-setup,timer,resources,untouched resources,depleted resources,max [dist-hive-max] of turtles
79,"""dense""","""0.6""",FALSE,3000,9,-750,750,-750,750,2400,0.612045816,1,5.819,2.02923233,2434064.18,418295.96,13.94,TRUE,FALSE,223.226,1848.812,3149,2981,63,350.2573313
80,"""dense""","""0.6""",FALSE,3000,10,-750,750,-750,750,2400,0.580671658,1,5.819,3.50920436,4209290.63,723370.10,24.11,TRUE,FALSE,222.155,1771.626,3318,3144,61,429.6798635
81,"""dense""","""0.8""",TRUE,500,1,-750,750,-750,750,2400,0.784212955,1,5.819,1.063552605,1275731.35,219235.50,43.85,FALSE,TRUE,57.834,1278.09,3295,3111,68,327.1238298
82,"""dense""","""0.8""",TRUE,500,2,-750,750,-750,750,2400,0.821426497,1,5.819,1.002710671,1202751.45,206693.84,41.34,FALSE,TRUE,57.911,1357.491,3147,2987,61,340.1685979
83,"""dense""","""0.8""",TRUE,500,3,-750,750,-750,750,2400,0.802021669,1,5.819,0.936262518,1123046.89,192996.54,38.60,FALSE,TRUE,58.926,1314.807,3144,2973,67,373.3764856
84,"""dense""","""0.8""",TRUE,500,4,-750,750,-750,750,2400,0.817177895,1,5.819,1.374380467,1648569.37,283308.02,56.66,FALSE,TRUE,56.432,1271.049,3185,3010,66,352.4869675
85,"""dense""","""0.8""",TRUE,500,5,-750,750,-750,750,2400,0.820770955,1,5.819,0.742592605,890739.83,153074.38,30.61,FALSE,TRUE,58.317,1357.669,3173,3013,53,341.9976073
86,"""dense""","""0.8""",TRUE,500,6,-750,750,-750,750,2400,0.797369976,1,5.819,1.086824227,1303645.66,224032.59,44.81,FALSE,TRUE,60.311,1314.232,3199,3036,59,322.9594195
87,"""dense""","""0.8""",TRUE,500,7,-750,750,-750,750,2400,0.82023821,1,5.819,1.248490446,1497564.29,257357.67,51.47,FALSE,TRUE,56.683,1272.021,3144,2966,71,351.6419694
88,"""dense""","""0.8""",TRUE,500,8,-750,750,-750,750,2400,0.819262567,1,5.819,1.189010513,1426218.11,245096.77,49.02,FALSE,TRUE,59.365,1327.195,3116,2946,64,377.766572
89,"""dense""","""0.8""",TRUE,500,9,-750,750,-750,750,2400,0.789674662,1,5.819,0.99340085,1191584.32,204774.76,40.95,FALSE,TRUE,57.892,1272.413,3210,3047,59,358.1075258
90,"""dense""","""0.8""",TRUE,500,10,-750,750,-750,750,2400,0.788165884,1,5.819,1.632155723,1957770.79,336444.54,67.29,FALSE,TRUE,59.324,1440.902,3197,3021,57,365.2595809
91,"""dense""","""0.8""",TRUE,3000,1,-750,750,-750,750,2400,0.784212955,1,5.819,1.063552605,1275731.35,219235.50,7.31,TRUE,FALSE,227.177,1823.831,3295,3111,68,327.1238298
92,"""dense""","""0.8""",TRUE,3000,2,-750,750,-750,750,2400,0.821426497,1,5.819,1.002710671,1202751.45,206693.84,6.89,TRUE,FALSE,280.869,1881.261,3147,2987,61,340.1685979
93,"""dense""","""0.8""",TRUE,3000,3,-750,750,-750,750,2400,0.802021669,1,5.819,0.936262518,1123046.89,192996.54,6.43,TRUE,FALSE,233.397,1903.8,3144,2973,67,373.3764856
94,"""dense""","""0.8""",TRUE,3000,4,-750,750,-750,750,2400,0.817177895,1,5.819,1.374380467,1648569.37,283308.02,9.44,TRUE,FALSE,173.382,1747.769,3185,3010,66,352.4869675
95,"""dense""","""0.8""",TRUE,3000,5,-750,750,-750,750,2400,0.820770955,1,5.819,0.742592605,890739.83,153074.38,5.10,TRUE,FALSE,179.973,1844.718,3173,3013,53,341.9976073
96,"""dense""","""0.8""",TRUE,3000,6,-750,750,-750,750,2400,0.797369976,1,5.819,1.086824227,1303645.66,224032.59,7.47,TRUE,FALSE,178.007,1892.17,3199,3036,59,322.9594195
97,"""dense""","""0.8""",TRUE,3000,7,-750,750,-750,750,2400,0.82023821,1,5.819,1.248490446,1497564.29,257357.67,8.58,TRUE,FALSE,212.972,1793.738,3144,2966,71,351.6419694
98,"""dense""","""0.8""",TRUE,3000,8,-750,750,-750,750,2400,0.819262567,1,5.819,1.189010513,1426218.11,245096.77,8.17,TRUE,FALSE,176.029,1793.991,3116,2946,64,377.766572
99,"""dense""","""0.8""",TRUE,3000,9,-750,750,-750,750,2400,0.789674662,1,5.819,0.99340085,1191584.32,204774.76,6.83,TRUE,FALSE,174.822,1896.346,3210,3047,59,358.1075258
100,"""dense""","""0.8""",TRUE,3000,10,-750,750,-750,750,2400,0.788165884,1,5.819,1.632155723,1957770.79,336444.54,11.21,TRUE,FALSE,169.976,1805.461,3197,3021,57,365.2595809
101,"""dense""","""0.8""",FALSE,500,1,-750,750,-750,750,2400,0.784212955,1,5.819,1.063552605,1275731.35,219235.50,43.85,TRUE,FALSE,224.058,1842.903,3295,3111,68,327.1238298
102,"""dense""","""0.8""",FALSE,500,2,-750,750,-750,750,2400,0.821426497,1,5.819,1.002710671,1202751.45,206693.84,41.34,TRUE,FALSE,175.022,1851.834,3147,2987,61,340.1685979
103,"""dense""","""0.8""",FALSE,500,3,-750,750,-750,750,2400,0.802021669,1,5.819,0.936262518,1123046.89,192996.54,38.60,TRUE,FALSE,169.494,1812.912,3144,2973,67,373.3764856
104,"""dense""","""0.8""",FALSE,500,4,-750,750,-750,750,2400,0.817177895,1,5.819,1.374380467,1648569.37,283308.02,56.66,TRUE,FALSE,176.224,1876.978,3185,3010,66,352.4869675
105,"""dense""","""0.8""",FALSE,500,5,-750,750,-750,750,2400,0.820770955,1,5.819,0.742592605,890739.83,153074.38,30.61,TRUE,FALSE,221.385,1898.456,3173,3013,53,341.9976073
106,"""dense""","""0.8""",FALSE,500,6,-750,750,-750,750,2400,0.797369976,1,5.819,1.086824227,1303645.66,224032.59,44.81,TRUE,FALSE,166.512,1752.299,3199,3036,59,322.9594195
107,"""dense""","""0.8""",FALSE,500,7,-750,750,-750,750,2400,0.82023821,1,5.819,1.248490446,1497564.29,257357.67,51.47,TRUE,FALSE,175.495,1868.328,3144,2966,71,351.6419694
108,"""dense""","""0.8""",FALSE,500,8,-750,750,-750,750,2400,0.819262567,1,5.819,1.189010513,1426218.11,245096.77,49.02,TRUE,FALSE,175.881,1937.094,3116,2946,64,377.766572
109,"""dense""","""0.8""",FALSE,500,9,-750,750,-750,750,2400,0.789674662,1,5.819,0.99340085,1191584.32,204774.76,40.95,TRUE,FALSE,210.977,1843.863,3210,3047,59,358.1075258
110,"""dense""","""0.8""",FALSE,500,10,-750,750,-750,750,2400,0.788165884,1,5.819,1.632155723,1957770.79,336444.54,67.29,TRUE,FALSE,219.528,1872.275,3197,3021,57,365.2595809
111,"""dense""","""0.8""",FALSE,3000,1,-750,750,-750,750,2400,0.784212955,1,5.819,1.063552605,1275731.35,219235.50,7.31,TRUE,FALSE,176.068,1853.43,3295,3111,68,327.1238298
112,"""dense""","""0.8""",FALSE,3000,2,-750,750,-750,750,2400,0.821426497,1,5.819,1.002710671,1202751.45,206693.84,6.89,TRUE,FALSE,170.144,1799.46,3147,2987,61,340.1685979
113,"""dense""","""0.8""",FALSE,3000,3,-750,750,-750,750,2400,0.802021669,1,5.819,0.936262518,1123046.89,192996.54,6.43,TRUE,FALSE,177.331,1871.01,3144,2973,67,373.3764856
114,"""dense""","""0.8""",FALSE,3000,4,-750,750,-750,750,2400,0.817177895,1,5.819,1.374380467,1648569.37,283308.02,9.44,TRUE,FALSE,220.208,1888.944,3185,3010,66,352.4869675
115,"""dense""","""0.8""",FALSE,3000,5,-750,750,-750,750,2400,0.820770955,1,5.819,0.742592605,890739.83,153074.38,5.10,TRUE,FALSE,168.028,1752.794,3173,3013,53,341.9976073
116,"""dense""","""0.8""",FALSE,3000,6,-750,750,-750,750,2400,0.797369976,1,5.819,1.086824227,1303645.66,224032.59,7.47,TRUE,FALSE,175.549,1859.278,3199,3036,59,322.9594195
117,"""dense""","""0.8""",FALSE,3000,7,-750,750,-750,750,2400,0.82023821,1,5.819,1.248490446,1497564.29,257357.67,8.58,TRUE,FALSE,176.006,1953.651,3144,2966,71,351.6419694
