BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Practice-ish Run,,,,,hi,,,,,,,,,,,,,,,,,,,,,,,
03/22/2016 15:40:27:356 -0700,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,min-pxcor,max-pxcor,min-pycor,max-pycor,[step],population,communication?,R,loop-num,J-per-microL,nectar-influx,hive-collected,mL,nectar(mL)/bee,imported,exported,timer-post-setup,timer,resources,untouched resources,found resources,depleted resources,max [dist-hive-max] of turtles
80,"""dense""","""0.6""",FALSE,3000,10,-750,750,-750,750,2400,3000,FALSE,0.620645011,1,5.819,0.662261005,4766292.45,819091.3301,273.0304434,TRUE,FALSE,220.306,1970.161,3208,2872,336,155,525.7018697
81,"""dense""","""0.8""",TRUE,500,1,-750,750,-750,750,2400,500,TRUE,0.798386899,1,5.819,0.906855206,1087772.82,186934.6658,373.8693316,FALSE,TRUE,55.124,1423.703,3135,2965,170,57,391.060483
82,"""dense""","""0.8""",TRUE,500,2,-750,750,-750,750,2400,500,TRUE,0.81575585,1,5.819,1.351958074,1621673.71,278685.9787,557.3719574,FALSE,TRUE,57.969,1439.36,3163,3003,160,48,325.1122883
83,"""dense""","""0.8""",TRUE,500,3,-750,750,-750,750,2400,500,TRUE,0.821770994,1,5.819,2.043924035,2451686.88,421324.4338,842.6488676,FALSE,TRUE,59.042,1447.651,3097,2922,175,64,319.7905565
84,"""dense""","""0.8""",TRUE,500,4,-750,750,-750,750,2400,500,TRUE,0.805589901,1,5.819,0.986874698,1183756.2,203429.4896,406.8589792,FALSE,TRUE,55.175,1422.637,3148,2983,165,48,313.078265
85,"""dense""","""0.8""",TRUE,500,5,-750,750,-750,750,2400,500,TRUE,0.807186263,1,5.819,1.053633022,1263832.81,217190.7218,434.3814436,FALSE,TRUE,67.741,1464.674,3186,3019,167,64,315.0265414
86,"""dense""","""0.8""",TRUE,500,6,-750,750,-750,750,2400,500,TRUE,0.814135697,1,5.819,0.816222368,979058.73,168252.0588,336.5041176,FALSE,TRUE,57.898,1436.211,3148,2989,159,61,375.4743666
87,"""dense""","""0.8""",TRUE,500,7,-750,750,-750,750,2400,500,TRUE,0.811087919,1,5.819,0.801662376,961594.02,165250.7338,330.5014676,FALSE,TRUE,59.392,1446.406,3107,2930,177,60,402.3903576
88,"""dense""","""0.8""",TRUE,500,8,-750,750,-750,750,2400,500,TRUE,0.787448063,1,5.819,0.775542709,930263.48,159866.5544,319.7331088,FALSE,TRUE,55.096,1431.147,3296,3151,145,49,325.3459697
89,"""dense""","""0.8""",TRUE,500,9,-750,750,-750,750,2400,500,TRUE,0.791268762,1,5.819,0.747298083,896384.05,154044.3461,308.0886922,FALSE,TRUE,57.712,1521.438,3255,3095,160,60,407.5383533
90,"""dense""","""0.8""",TRUE,500,10,-750,750,-750,750,2400,500,TRUE,0.798853341,1,5.819,1.084141551,1300427.79,223479.5996,446.9591992,FALSE,TRUE,66.768,1568.625,3320,3156,164,59,355.4769731
91,"""dense""","""0.8""",TRUE,3000,1,-750,750,-750,750,2400,3000,TRUE,0.798386899,1,5.819,0.773326375,5565629.92,956458.1406,318.8193802,TRUE,FALSE,237.831,2093.68,3135,2608,527,272,534.8130514
92,"""dense""","""0.8""",TRUE,3000,2,-750,750,-750,750,2400,3000,TRUE,0.81575585,1,5.819,0.723474405,5206845.29,894800.7029,298.266901,TRUE,FALSE,240.962,2059.785,3163,2650,513,256,542.0719509
93,"""dense""","""0.8""",TRUE,3000,3,-750,750,-750,750,2400,3000,TRUE,0.821770994,1,5.819,1.006362091,7242787.97,1244679.149,414.8930497,TRUE,FALSE,194.319,2060.272,3097,2571,526,278,483.2358385
94,"""dense""","""0.8""",TRUE,3000,4,-750,750,-750,750,2400,3000,TRUE,0.805589901,1,5.819,0.657149393,4729504.18,812769.2353,270.9230784,TRUE,FALSE,185.637,2107.39,3148,2623,525,257,480.5424019
95,"""dense""","""0.8""",TRUE,3000,5,-750,750,-750,750,2400,3000,TRUE,0.807186263,1,5.819,0.813775531,5856742.5,1006486.08,335.49536,TRUE,FALSE,221.316,2114.965,3186,2637,549,294,476.668648
96,"""dense""","""0.8""",TRUE,3000,6,-750,750,-750,750,2400,3000,TRUE,0.814135697,1,5.819,0.566193668,4074895.83,700274.2447,233.4247482,TRUE,FALSE,263.695,2084.418,3148,2621,527,280,510.2771478
97,"""dense""","""0.8""",TRUE,3000,7,-750,750,-750,750,2400,3000,TRUE,0.811087919,1,5.819,0.70029415,5040017,866131.1222,288.7103741,TRUE,FALSE,235.411,2121.727,3107,2579,528,270,539.4116877
98,"""dense""","""0.8""",TRUE,3000,8,-750,750,-750,750,2400,3000,TRUE,0.787448063,1,5.819,0.567701724,4085749.31,702139.4243,234.0464748,TRUE,FALSE,183.474,2097.106,3296,2788,508,239,555.1596506
99,"""dense""","""0.8""",TRUE,3000,9,-750,750,-750,750,2400,3000,TRUE,0.791268762,1,5.819,0.724474396,5214042.23,896037.503,298.6791677,TRUE,FALSE,240.726,2147.674,3255,2706,549,293,635.9061498
100,"""dense""","""0.8""",TRUE,3000,10,-750,750,-750,750,2400,3000,TRUE,0.798853341,1,5.819,1.018568859,7330640.08,1259776.608,419.925536,TRUE,FALSE,239.669,2117.268,3320,2783,537,290,478.3937446
101,"""dense""","""0.8""",FALSE,500,1,-750,750,-750,750,2400,500,FALSE,0.798386899,1,5.819,0.325606011,390564.41,67118.81938,134.2376388,TRUE,FALSE,236.533,1962.874,3135,3052,83,23,332.001506
102,"""dense""","""0.8""",FALSE,500,2,-750,750,-750,750,2400,500,FALSE,0.81575585,1,5.819,0.664962043,797621.97,137072.0003,274.1440006,TRUE,FALSE,227.781,2024.746,3163,3082,81,23,292.8814649
103,"""dense""","""0.8""",FALSE,500,3,-750,750,-750,750,2400,500,FALSE,0.821770994,1,5.819,0.760588645,912326.08,156783.9973,313.5679946,TRUE,FALSE,229.233,2018.541,3097,3006,91,26,314.8039456
