"BehaviorSpace results (NetLogo 5.3)"
"Bees.nlogo"
"resource_nums"
"02/16/2016 16:29:37:581 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-500","500","-500","500"
"[run number]","resource_density","patchiness","c1_mult","c2_mult","calc_R","[step]","num-patches-r","count patches with [resource?]"
"259","""sparse""","1","161","41","false","1","44.532888","43"
"261","""sparse""","1","161","81","false","1","44.532888","39"
"262","""sparse""","1","161","81","false","1","44.532888","36"
"263","""sparse""","1","161","81","false","1","44.532888","41"
"265","""sparse""","1","161","81","false","1","44.532888","44"
"264","""sparse""","1","161","81","false","1","44.532888","48"
"266","""sparse""","1","161","81","false","1","44.532888","54"
"267","""sparse""","1","161","81","false","1","44.532888","46"
"268","""sparse""","1","161","81","false","1","44.532888","46"
"269","""sparse""","1","161","81","false","1","44.532888","34"
"270","""sparse""","1","161","81","false","1","44.532888","41"
"271","""sparse""","1","161","121","false","1","44.532888","46"
"272","""sparse""","1","161","121","false","1","44.532888","44"
"274","""sparse""","1","161","121","false","1","44.532888","46"
"273","""sparse""","1","161","121","false","1","44.532888","50"
"275","""sparse""","1","161","121","false","1","44.532888","48"
"277","""sparse""","1","161","121","false","1","44.532888","61"
"276","""sparse""","1","161","121","false","1","44.532888","44"
"278","""sparse""","1","161","121","false","1","44.532888","35"
"279","""sparse""","1","161","121","false","1","44.532888","41"
"280","""sparse""","1","161","121","false","1","44.532888","40"
"281","""sparse""","1","161","161","false","1","44.532888","51"
"282","""sparse""","1","161","161","false","1","44.532888","34"
"283","""sparse""","1","161","161","false","1","44.532888","44"
"286","""sparse""","1","161","161","false","1","44.532888","40"
"284","""sparse""","1","161","161","false","1","44.532888","43"
"285","""sparse""","1","161","161","false","1","44.532888","50"
"287","""sparse""","1","161","161","false","1","44.532888","46"
"288","""sparse""","1","161","161","false","1","44.532888","47"
"289","""sparse""","1","161","161","false","1","44.532888","50"
"291","""sparse""","1","161","201","false","1","44.532888","45"
"290","""sparse""","1","161","161","false","1","44.532888","56"
"292","""sparse""","1","161","201","false","1","44.532888","41"
"293","""sparse""","1","161","201","false","1","44.532888","58"
"294","""sparse""","1","161","201","false","1","44.532888","44"
"295","""sparse""","1","161","201","false","1","44.532888","37"
