BehaviorSpace results (NetLogo 5.3),,,,,,,,
Bees.nlogo,,,,,,,,
resource_nums,,,,,,,,
02/17/2016 11:01:19:818 -0800,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
-500,500,-500,500,,,,,
[run number],resource_density,patchiness,c1_mult,c2_mult,calc_R,[step],num-patches-r,count patches with [resource?]
351,"""sparse""",1,81,201,FALSE,1,44.532888,39
352,"""sparse""",1,81,201,FALSE,1,44.532888,51
353,"""sparse""",1,81,201,FALSE,1,44.532888,55
354,"""sparse""",1,81,201,FALSE,1,44.532888,66
355,"""sparse""",1,81,201,FALSE,1,44.532888,45
356,"""sparse""",1,81,201,FALSE,1,44.532888,37
357,"""sparse""",1,81,201,FALSE,1,44.532888,53
358,"""sparse""",1,81,201,FALSE,1,44.532888,32
359,"""sparse""",1,81,201,FALSE,1,44.532888,47
360,"""sparse""",1,81,201,FALSE,1,44.532888,38
361,"""sparse""",1,121,1,FALSE,1,44.532888,41
362,"""sparse""",1,121,1,FALSE,1,44.532888,45
363,"""sparse""",1,121,1,FALSE,1,44.532888,34
364,"""sparse""",1,121,1,FALSE,1,44.532888,37
365,"""sparse""",1,121,1,FALSE,1,44.532888,35
366,"""sparse""",1,121,1,FALSE,1,44.532888,47
367,"""sparse""",1,121,1,FALSE,1,44.532888,42
368,"""sparse""",1,121,1,FALSE,1,44.532888,42
369,"""sparse""",1,121,1,FALSE,1,44.532888,41
370,"""sparse""",1,121,1,FALSE,1,44.532888,47
371,"""sparse""",1,121,1,FALSE,1,44.532888,35
372,"""sparse""",1,121,1,FALSE,1,44.532888,38
373,"""sparse""",1,121,1,FALSE,1,44.532888,53
374,"""sparse""",1,121,1,FALSE,1,44.532888,57
375,"""sparse""",1,121,1,FALSE,1,44.532888,47
376,"""sparse""",1,121,1,FALSE,1,44.532888,37
377,"""sparse""",1,121,1,FALSE,1,44.532888,51
378,"""sparse""",1,121,1,FALSE,1,44.532888,54
379,"""sparse""",1,121,1,FALSE,1,44.532888,43
380,"""sparse""",1,121,1,FALSE,1,44.532888,53
381,"""sparse""",1,121,41,FALSE,1,44.532888,40
382,"""sparse""",1,121,41,FALSE,1,44.532888,44
383,"""sparse""",1,121,41,FALSE,1,44.532888,42
384,"""sparse""",1,121,41,FALSE,1,44.532888,55
385,"""sparse""",1,121,41,FALSE,1,44.532888,45
386,"""sparse""",1,121,41,FALSE,1,44.532888,40
387,"""sparse""",1,121,41,FALSE,1,44.532888,40
388,"""sparse""",1,121,41,FALSE,1,44.532888,49
389,"""sparse""",1,121,41,FALSE,1,44.532888,48
390,"""sparse""",1,121,41,FALSE,1,44.532888,40
391,"""sparse""",1,121,41,FALSE,1,44.532888,44
392,"""sparse""",1,121,41,FALSE,1,44.532888,48
393,"""sparse""",1,121,41,FALSE,1,44.532888,50
394,"""sparse""",1,121,41,FALSE,1,44.532888,43
395,"""sparse""",1,121,41,FALSE,1,44.532888,36
396,"""sparse""",1,121,41,FALSE,1,44.532888,40
397,"""sparse""",1,121,41,FALSE,1,44.532888,38
398,"""sparse""",1,121,41,FALSE,1,44.532888,42
399,"""sparse""",1,121,41,FALSE,1,44.532888,37
400,"""sparse""",1,121,41,FALSE,1,44.532888,47
401,"""sparse""",1,121,81,FALSE,1,44.532888,54
402,"""sparse""",1,121,81,FALSE,1,44.532888,46
403,"""sparse""",1,121,81,FALSE,1,44.532888,60
404,"""sparse""",1,121,81,FALSE,1,44.532888,36
405,"""sparse""",1,121,81,FALSE,1,44.532888,37
406,"""sparse""",1,121,81,FALSE,1,44.532888,39
407,"""sparse""",1,121,81,FALSE,1,44.532888,42
408,"""sparse""",1,121,81,FALSE,1,44.532888,41
409,"""sparse""",1,121,81,FALSE,1,44.532888,41
410,"""sparse""",1,121,81,FALSE,1,44.532888,43
411,"""sparse""",1,121,81,FALSE,1,44.532888,50
412,"""sparse""",1,121,81,FALSE,1,44.532888,40
413,"""sparse""",1,121,81,FALSE,1,44.532888,37
414,"""sparse""",1,121,81,FALSE,1,44.532888,43
415,"""sparse""",1,121,81,FALSE,1,44.532888,41
416,"""sparse""",1,121,81,FALSE,1,44.532888,47
417,"""sparse""",1,121,81,FALSE,1,44.532888,52
418,"""sparse""",1,121,81,FALSE,1,44.532888,47
419,"""sparse""",1,121,81,FALSE,1,44.532888,44
420,"""sparse""",1,121,81,FALSE,1,44.532888,46
421,"""sparse""",1,121,121,FALSE,1,44.532888,44
422,"""sparse""",1,121,121,FALSE,1,44.532888,51
423,"""sparse""",1,121,121,FALSE,1,44.532888,40
424,"""sparse""",1,121,121,FALSE,1,44.532888,45
425,"""sparse""",1,121,121,FALSE,1,44.532888,45
426,"""sparse""",1,121,121,FALSE,1,44.532888,47
427,"""sparse""",1,121,121,FALSE,1,44.532888,45
428,"""sparse""",1,121,121,FALSE,1,44.532888,27
429,"""sparse""",1,121,121,FALSE,1,44.532888,57
430,"""sparse""",1,121,121,FALSE,1,44.532888,51
431,"""sparse""",1,121,121,FALSE,1,44.532888,44
432,"""sparse""",1,121,121,FALSE,1,44.532888,45
433,"""sparse""",1,121,121,FALSE,1,44.532888,49
434,"""sparse""",1,121,121,FALSE,1,44.532888,45
435,"""sparse""",1,121,121,FALSE,1,44.532888,46
436,"""sparse""",1,121,121,FALSE,1,44.532888,46
437,"""sparse""",1,121,121,FALSE,1,44.532888,41
438,"""sparse""",1,121,121,FALSE,1,44.532888,53
439,"""sparse""",1,121,121,FALSE,1,44.532888,44
440,"""sparse""",1,121,121,FALSE,1,44.532888,35
441,"""sparse""",1,121,161,FALSE,1,44.532888,56
442,"""sparse""",1,121,161,FALSE,1,44.532888,50
443,"""sparse""",1,121,161,FALSE,1,44.532888,39
444,"""sparse""",1,121,161,FALSE,1,44.532888,57
