BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,
Simulation Run,,,,,,,,,,,,,,,,,,,,,,,
04/08/2016 17:12:08:654 -0700,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,R,loop-num,nectar-influx,hive-collected,imported,exported,timer-post-setup,timer,resources,resources.untouched,resources.found,resources.depleted,max [dist-hive-max] of turtles,foraged-count,dance-quality,dance-quantity,random-quality,random-quantity
105,"""dense""","""0.8""",FALSE,500,5,0.795333186,1,0.324861142,389670.94,TRUE,FALSE,194.648,1914.16,3279,3175,104,35,245.2268728,2772,0,0,45091.59,316
106,"""dense""","""0.8""",FALSE,500,6,0.781258401,1,0.228887578,274550.65,TRUE,FALSE,206.983,1917.185,3223,3124,99,35,325.8371911,2645,0,0,31439.93,302
107,"""dense""","""0.8""",FALSE,500,7,0.822042221,1,0.306723226,367914.51,TRUE,FALSE,209.146,1919.466,3180,3075,105,32,284.5083479,2586,0,0,40232.86,279
108,"""dense""","""0.8""",FALSE,500,8,0.795244741,1,0.373290379,447761.81,TRUE,FALSE,195.213,1910.206,3238,3135,103,36,270.2719486,2815,0,0,52144.15,325
109,"""dense""","""0.8""",FALSE,500,9,0.776844074,1,0.295485611,354434.99,TRUE,FALSE,206.005,1907.955,3205,3106,99,32,282.6786929,2410,0,0,42461.21,299
110,"""dense""","""0.8""",FALSE,500,10,0.806040562,1,0.32009293,383951.47,TRUE,FALSE,206.769,1905.92,3201,3109,92,34,291.0532597,2528,0,0,39744.03,271
111,"""dense""","""0.8""",FALSE,3000,1,0.785919398,1,0.18266448,1314636.26,TRUE,FALSE,193.945,1960.075,3152,2835,317,145,431.5158671,9585,0,0,251404.46,1827
112,"""dense""","""0.8""",FALSE,3000,2,0.813379888,1,0.208328973,1499343.62,TRUE,FALSE,207.86,1957.995,3154,2837,317,144,487.4272702,9598,0,0,281547.04,1795
113,"""dense""","""0.8""",FALSE,3000,3,0.79612838,1,0.185102245,1332180.86,TRUE,FALSE,212.592,1962.126,3154,2843,311,148,410.487515,9464,0,0,247779.29,1830
114,"""dense""","""0.8""",FALSE,3000,4,0.804121989,1,0.191990465,1381755.38,TRUE,FALSE,195.791,1970.142,3205,2895,310,150,435.4595274,9547,0,0,262070.18,1799
115,"""dense""","""0.8""",FALSE,3000,5,0.795333186,1,0.208030966,1497198.86,TRUE,FALSE,202.111,1952.491,3279,2940,339,156,450.0911382,10244,0,0,299673.67,2042
116,"""dense""","""0.8""",FALSE,3000,6,0.781258401,1,0.161882304,1165066.94,TRUE,FALSE,204.449,1953.046,3223,2900,323,154,388.8057872,9874,0,0,236332.61,2014
117,"""dense""","""0.8""",FALSE,3000,7,0.822042221,1,0.222326799,1600085.97,TRUE,FALSE,195.089,1962.758,3180,2828,352,159,441.7837212,10299,0,0,320587.56,2091
118,"""dense""","""0.8""",FALSE,3000,8,0.795244741,1,0.204974601,1475202.2,TRUE,FALSE,204.915,1946.059,3238,2903,335,155,381.4734591,10139,0,0,288180.92,1973
119,"""dense""","""0.8""",FALSE,3000,9,0.776844074,1,0.200872009,1445675.85,TRUE,FALSE,207.397,1940.216,3205,2895,310,160,399.0550456,9892,0,0,278992.64,1966
120,"""dense""","""0.8""",FALSE,3000,10,0.806040562,1,0.189678402,1365115.46,TRUE,FALSE,194.193,1883.042,3201,2889,312,145,367.5350323,9484,0,0,265784.19,1849
121,"""dense""","""1.0""",TRUE,500,1,1.008802606,1,0.543770788,652253.06,FALSE,TRUE,24.651,1345.176,3220,3057,163,58,298.0513347,4101,579655.06,3633,84654.93,583
122,"""dense""","""1.0""",TRUE,500,2,1.007821023,1,0.526768687,631859.04,FALSE,TRUE,24.897,1349.267,3215,3060,155,52,344.1758272,4166,561646.55,3696,74495.16,530
123,"""dense""","""1.0""",TRUE,500,3,0.992491559,1,0.473769212,568286.17,FALSE,TRUE,24.855,1344.395,3275,3124,151,48,297.6563396,3819,507995.19,3397,62129.67,449
124,"""dense""","""1.0""",TRUE,500,4,1.009497344,1,0.518821867,622326.83,FALSE,TRUE,25.231,1362.261,3141,2999,142,46,401.4286985,3679,550683.01,3251,74029.54,452
125,"""dense""","""1.0""",TRUE,500,5,1.010511447,1,0.391599775,469723.93,FALSE,TRUE,25.477,1349.228,3167,3033,134,42,361.731945,3363,410585.12,2908,58696.57,450
126,"""dense""","""1.0""",TRUE,500,6,1.019180877,2,0.433320067,519767.42,FALSE,TRUE,29.683,1350.886,3230,3090,140,46,289.7158182,3634,455298.38,3165,62700.02,478
127,"""dense""","""1.0""",TRUE,500,7,1.01984203,1,0.443074639,531468.03,FALSE,TRUE,25.578,1351.122,3154,3016,138,53,362.1122574,3830,466324.13,3350,62275.04,500
128,"""dense""","""1.0""",TRUE,500,8,1.011907885,1,0.580129154,695864.92,FALSE,TRUE,25.058,1363.802,3159,2997,162,63,373.8622489,4504,622062.56,3998,92900.22,627
129,"""dense""","""1.0""",TRUE,500,9,1.022689247,1,0.442832664,531177.78,FALSE,TRUE,24.626,1385.152,3199,3044,155,52,346.8328127,4070,468274.12,3576,63276.03,519
130,"""dense""","""1.0""",TRUE,500,10,1.026163945,1,0.430711722,516638.71,FALSE,TRUE,24.28,1404.699,3195,3042,153,52,376.3446907,3769,455364.73,3314,68041.46,528
